Endereços,Descrições,Metros Quadrados,Quartos,Banheiros,Vagas,Atributos,Preços
"Cruzeiro, Belo Horizonte - MG","Apartamento com 3 Quartos para Aluguel, 120",  120,  3,  1,  1,['Área de serviço'],   R$ 2.200 /Mês  Preço abaixo do mercado  
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Rua Francisco Couto Vale, 250 - Petrópolis, Manaus - AM","Casa com 2 Quartos para Aluguel, 150",  150,  2,  1,  --,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Espaço gourmet', 'Quadra poliesportiva', '...']",   R$ 1.300 /Mês 
"Vila Santa Angelina, São Bernardo do Campo - SP","Apartamento com 2 Quartos para Aluguel, 49",  49,  2,  1,  1,"['Piscina', 'Playground', 'Salão de festas', 'Quadra poliesportiva', 'Cozinha', '...']",   R$ 1.550 /Mês 
"Rua das Orquídeas, 164 - Jockey, Teresina - PI","Apartamento com  Quarto para Aluguel, 62",  62,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.800 /Mês 
"Jardim Roberto, Osasco - SP","Apartamento com 2 Quartos para Aluguel, 52",  52,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Aceita animais', '...']",   R$ 2.000 /Mês 
"Rua Antonieta Leitão, 100 - Freguesia do Ó, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 85",  85,  3,  3,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Academia', '...']",   R$ 2.800 /Mês 
"Avenida São João, 241 - Jardim Esplanada, São José dos Campos - SP","Apartamento com 3 Quartos para Aluguel, 106",  106,  3,  2,  2,"['Piscina', 'Elevador', 'Área de serviço', 'Quadra poliesportiva', 'Escritório', '...']",   R$ 3.100 /Mês  Preço abaixo do mercado  
"Jardim Padovani, Londrina - PR","Sala/Conjunto    para Aluguel, 47",  47,,  1,  --,['Vista para o mar'],   R$ 1.500 /Mês 
"Estrada Caetano Monteiro, 3711 - Badu, Niterói - RJ","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  1,"['Condomínio fechado', 'Ar-condicionado', 'Jardim', 'Área de serviço', 'Estacionamento para visitantes', '...']",   R$ 1.400 /Mês 
"Rua Taquarytinga, 170 - Alto da Mooca, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 5.500 /Mês 
"Avenida Doutor Bernardo Kaplan, 123 - Parque Brasília, Campinas - SP","Apartamento com 2 Quartos para Aluguel, 73",  73,  2,  2,  1,['Elevador'],   R$ 2.800 /Mês 
"Alameda dos Cardeais, 57 - Caraguata, Mairiporã - SP","Casa com 5 Quartos à Venda/Aluguel 570",  570,  5,  6,  6,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Academia', 'Aceita animais', '...']",   R$ 15.000 /Mês 
"Rua Giovanni Battista Pirelli - Vila Homero Thon, Santo André - SP","Sala/Conjunto    para Aluguel, 33",  33,,  1,  1,['Elevador'],   R$ 1.290 /Mês 
"Rua Hugo Zen, 78 - Colônia Rio Grande, São José dos Pinhais - PR","Apartamento com 2 Quartos para Aluguel, 53",  53,  2,  1,  1,,   R$ 1.200 /Mês 
"Rua Giacinto Tognato, 374 - Baeta Neves, São Bernardo do Campo - SP","Casa com 2 Quartos para Aluguel, 80",  80,  2,  2,  1,,   R$ 1.800 /Mês 
"Avenida Jorge Zarur, 11 - Vila Ema, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  2,,   R$ 3.300 /Mês 
"Rua João Teixeira da Silva, 415 - Vila Invernada, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 76",  76,  3,  2,  2,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Playground', '...']",   R$ 2.800 /Mês 
"Rua Olívia Menelau, 207 - Imbiribeira, Recife - PE","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  3,  1,,   R$ 2.000 /Mês 
"Rua Lima e Silva, 233 - Ipiranga, São Paulo - SP","Casa com 2 Quartos para Venda/Aluguel 100",  100,  2,  2,  --,,   R$ 3.000 /Mês 
"Rua dos Bicudos, 03 - Jardim Renascença, São Luís - MA","Apartamento com 3 Quartos para Aluguel, 98",  98,  3,  3,  1,,   R$ 3.800 /Mês 
"Rua Fernando de Noronha, 1997 - Santa Cândida, Curitiba - PR","Imóvel comercial    para Aluguel, 340",  340,,  4,  2,"['Churrasqueira', 'Cozinha', 'Sistema de alarme', 'Área de serviço']",   R$ 4.000 /Mês 
"Rua Maria Otília, 210 - Jardim Anália Franco, São Paulo - SP","Apartamento com  Quarto para Aluguel, 40",  40,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 2.750 /Mês 
"Rua Raul Antônio da Silva, 236 - Aririu da Formiga, Palhoça - SC","Apartamento com 2 Quartos para Aluguel, 64",  64,  2,  1,  1,,   R$ 950 /Mês 
"Parque Sao Jorge, Taubaté - SP","Casa com 4 Quartos para Venda/Aluguel 350",  350,  4,  5,  3,"['Piscina', 'Churrasqueira', 'Ar-condicionado', 'Jardim', 'Área de serviço', '...']",   R$ 4.350 /Mês 
"Rua das Chácaras, 300 - Jardim Oriente, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  2,  1,"['Churrasqueira', 'Elevador', 'Varanda gourmet', 'Salão de festas', 'Portaria 24h', '...']",   R$ 2.200 /Mês 
"Avenida Almirante Barroso, 465 - Marco, Belém - PA","Apartamento com 3 Quartos para Aluguel, 86",  86,  3,  3,  2,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Academia', 'Aceita animais', '...']",   R$ 4.700 /Mês 
"Rua Traituba - Saúde, São Paulo - SP","Apartamento com  Quarto para Aluguel, 36",  36,  1,  1,  1,"['Piscina', 'Elevador', 'Varanda', 'Aceita animais', 'Área de serviço', '...']",   R$ 2.100 /Mês 
"Avenida Doutor Oswaldo Valadão de Rezende - Conjunto Habitacional Centenario, Varginha - MG","Casa com 2 Quartos para Aluguel, 55",  55,  2,  1,  1,['Área de serviço'],   R$ 1.100 /Mês 
"Rua José Domingos de Figueiredo - Coophamil, Cuiabá - MT","Casa com 4 Quartos para Aluguel, 3176",  3176,  4,  4,  2,"['Varanda', 'Garagem', 'Cozinha', 'Piscina', 'Área de serviço']",   R$ 2.000 /Mês 
"Ponte do Imaruim, Palhoça - SC","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  1,  1,"['Área de serviço', 'Garagem']",   R$ 1.900 /Mês 
"Rua Boa Vista - Boa Vista, São José do Rio Preto - SP","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  2,  1,"['Cozinha', 'Área de serviço']",   R$ 2.100 /Mês 
"Vila Seixas, Ribeirão Preto - SP","Kitnet/Conjugado com  Quarto para Aluguel, 40",  40,  1,  1,  --,"['Mobiliado', 'Condomínio fechado', 'Varanda', 'Armário na cozinha', 'Cozinha', '...']",   R$ 900 /Mês 
"Rua Marechal Deodoro, 1564 - Centro, São Bernardo do Campo - SP","Sala/Conjunto    para Aluguel, 21",  21,,  1,  --,,   R$ 1.200 /Mês 
"Rua Antônio Alves - Bosque dos Eucaliptos, São José dos Campos - SP","Casa com 4 Quartos para Aluguel, 174",  174,  4,  4,  3,['Móvel planejado'],   R$ 4.500 /Mês 
"Fundaçao, São Caetano do Sul - SP","Sala/Conjunto    para Aluguel, 41",  41,,  1,  --,,   R$ 1.350 /Mês 
"Santa Mônica, Uberlândia - MG","Apartamento com 3 Quartos para Aluguel, 104",  104,  3,  2,  2,,   R$ 2.500 /Mês 
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Santa Mônica, Uberlândia - MG","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  2,  1,,   R$ 1.100 /Mês 
"Rua Presidente Roosevelt, 416 - Centro, São Leopoldo - RS","Ponto comercial/Loja/Box    para Aluguel, 52",  52,,  1,  --,,   R$ 1.700 /Mês 
"Avenida Moinho Fabrini, 339 - Independência, São Bernardo do Campo - SP","Apartamento com 2 Quartos à Venda/Aluguel 81",  81,  2,  2,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Academia', '...']",   R$ 3.700 /Mês 
"Rua Sinfonia Popular - Jardim Santa Francisca Cabrini, São Paulo - SP","Apartamento com  Quarto para Aluguel, 55",  55,  1,  1,  1,,   R$ 1.650 /Mês 
"Avenida Quinze de Novembro, 413 - Centro, Ferraz de Vasconcelos - SP","Sala/Conjunto    para Aluguel, 54",  54,,  1,  --,,   R$ 1.500 /Mês 
"Rua Apinajés, 445 - Perdizes, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 112",  112,  2,  3,  2,"['Elevador', 'Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Portaria 24h', '...']",   R$ 5.500 /Mês 
"Gleba Fazenda Palhano, Londrina - PR","Apartamento com 3 Quartos para Aluguel, 81",  81,  3,  2,  1,"['Churrasqueira', 'Salão de jogos', 'Salão de festas', 'Armário embutido']",   R$ 2.900 /Mês 
"Vila Diniz, São José do Rio Preto - SP","Casa com 3 Quartos para Aluguel, 100",  100,  3,  1,  1,['Área de serviço'],   R$ 980 /Mês 
"Rua Vera Paranaguá de Souza Dantas, 342 - Jardim Arpoador Zona Oeste, São Paulo - SP","Casa com  Quarto para Aluguel, 50",  50,  1,  1,  1,"['Entrada lateral', 'Ronda/Vigilância', 'Área de serviço', 'Piso frio', 'Aceita animais']",   R$ 1.300 /Mês 
"Rua Maria Otília - Vila Regente Feijó, São Paulo - SP","Apartamento com  Quarto para Aluguel, 43",  43,  1,  1,  1,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Portaria 24h', '...']",   R$ 3.600 /Mês 
"Rua Ibia - Turiaçu, Rio de Janeiro - RJ","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  1,"['Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 850 /Mês 
"Rua Fortaleza, 340 - Alto da Glória, Goiânia - GO","Apartamento com 2 Quartos para Aluguel, 78",  78,  2,  3,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 4.000 /Mês 
"Rua Pedro Freitas Alves, 0 - Jamil Seme Cury, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 62",  62,  2,  1,  2,"['Cozinha', 'Perto de vias de acesso', 'Área de serviço']",   R$ 1.100 /Mês 
"Avenida Agenor Couto de Magalhães, 222 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  1,  1,,   R$ 2.500 /Mês 
"Estrada para CATRE - Emaús, Parnamirim - RN","Apartamento com 2 Quartos para Aluguel, 44",  44,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 1.300 /Mês 
"Rua da Dica, 01 - Nossa Senhora de Aparecida, Manaus - AM","Prédio/Edifício inteiro    para Aluguel, 400",  400,,  --,  --,,   R$ 7.000 /Mês 
"Rua Luís Correia de Melo, 250 - Vila Cruzeiro, São Paulo - SP","Apartamento com  Quarto para Aluguel, 45",  45,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.600 /Mês 
"Jardim do Shopping, Caxias do Sul - RS","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Cozinha', 'Varanda']",   R$ 1.250 /Mês 
"Rua Antonio Matheus Sobrinho, 145 - Santa Claudina, Vinhedo - SP","Apartamento com 2 Quartos para Venda/Aluguel 88",  88,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 2.170 /Mês  Preço abaixo do mercado  
"Centro, Valinhos - SP","Sala/Conjunto com 3 Quartos para Venda/Aluguel 129",  129,  3,  4,  2,,   R$ 1.200 /Mês 
"Rua Tucuna, 283 - Perdizes, São Paulo - SP","Imóvel comercial    para Aluguel, 250",  250,,  3,  4,"['Ar-condicionado', 'Varanda', 'Área de serviço']",   R$ 9.700 /Mês 
"Avenida Santa Catarina, 360 - Jardim Brasil, Araraquara - SP","Casa com 3 Quartos para Aluguel, 177",  177,  3,  3,  2,"['Ar-condicionado', 'Área de serviço', 'Quintal', 'Aceita animais']",   R$ 2.000 /Mês 
"Rua das Gardênias, 7 - Ponta D'areia, São Luís - MA","Sala/Conjunto    para Aluguel, 42",  42,,  1,  1,,   R$ 1.800 /Mês 
"Cidade Jardim Cumbica, Guarulhos - SP","Ponto comercial/Loja/Box    para Aluguel, 60",  60,,  1,  --,,   R$ 1.950 /Mês 
"Vila Santa Cruz, São José do Rio Preto - SP","Sala/Conjunto    para Aluguel, 40",  40,,  1,  2,,   R$ 1.700 /Mês 
"Avenida Érico Veríssimo - Menino Deus, Porto Alegre - RS","Sala/Conjunto    para Venda/Aluguel 57",  57,,  1,  1,"['Elevador', 'Interfone']",   R$ 1.500 /Mês 
"Rua Dorvalina Batista, 103 - Nova Palhoça, Palhoça - SC","Casa com 2 Quartos para Aluguel, 68",  68,  2,  2,  2,,   R$ 1.800 /Mês 
"Avenida Farroupilha - Marechal Rondon, Canoas - RS","Apartamento com 3 Quartos para Venda/Aluguel 76",  76,  3,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Jardim', 'Playground', '...']",   R$ 4.000 /Mês 
"Avenida Henrique Moscoso, 1156 - Centro, Vila Velha - ES","Sala/Conjunto    para Aluguel, 22",  22,,  --,  --,,   R$ 600 /Mês 
"Rua Tenente Rosana Ribeiro Restini, 0 - Ribeirao Verde, Ribeirão Preto - SP","Ponto comercial/Loja/Box    para Aluguel, 40",  40,,  1,  1,['Perto de vias de acesso'],   R$ 1.750 /Mês 
"Jardim Monte Libano, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 50",  50,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Área de serviço', '...']",   R$ 1.450 /Mês 
"Avenida Alterosa - Parque Turistas, Contagem - MG","Sala/Conjunto    para Aluguel, 20",  20,,  1,  --,,   R$ 600 /Mês 
"Avenida Aldo Borges Leão, 1 - Morada Nova, Uberlândia - MG","Sala/Conjunto    para Aluguel, 42",  42,,  1,  --,,   R$ 500 /Mês 
"Rua Santo André - Boa Vista, São Caetano do Sul - SP","Apartamento com 2 Quartos para Aluguel, 71",  71,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 3.480 /Mês 
"Cruzeiro, Belo Horizonte - MG","Apartamento com 3 Quartos para Aluguel, 120",  120,  3,  1,  1,['Área de serviço'],   R$ 2.200 /Mês  Preço abaixo do mercado  
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Rua Francisco Couto Vale, 250 - Petrópolis, Manaus - AM","Casa com 2 Quartos para Aluguel, 150",  150,  2,  1,  --,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Espaço gourmet', 'Quadra poliesportiva', '...']",   R$ 1.300 /Mês 
"Vila Santa Angelina, São Bernardo do Campo - SP","Apartamento com 2 Quartos para Aluguel, 49",  49,  2,  1,  1,"['Piscina', 'Playground', 'Salão de festas', 'Quadra poliesportiva', 'Cozinha', '...']",   R$ 1.550 /Mês 
"Rua das Orquídeas, 164 - Jockey, Teresina - PI","Apartamento com  Quarto para Aluguel, 62",  62,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.800 /Mês 
"Jardim Roberto, Osasco - SP","Apartamento com 2 Quartos para Aluguel, 52",  52,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Aceita animais', '...']",   R$ 2.000 /Mês 
"Rua Antonieta Leitão, 100 - Freguesia do Ó, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 85",  85,  3,  3,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Academia', '...']",   R$ 2.800 /Mês 
"Avenida São João, 241 - Jardim Esplanada, São José dos Campos - SP","Apartamento com 3 Quartos para Aluguel, 106",  106,  3,  2,  2,"['Piscina', 'Elevador', 'Área de serviço', 'Quadra poliesportiva', 'Escritório', '...']",   R$ 3.100 /Mês  Preço abaixo do mercado  
"Jardim Padovani, Londrina - PR","Sala/Conjunto    para Aluguel, 47",  47,,  1,  --,['Vista para o mar'],   R$ 1.500 /Mês 
"Estrada Caetano Monteiro, 3711 - Badu, Niterói - RJ","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  1,"['Condomínio fechado', 'Ar-condicionado', 'Jardim', 'Área de serviço', 'Estacionamento para visitantes', '...']",   R$ 1.400 /Mês 
"Rua Taquarytinga, 170 - Alto da Mooca, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 5.500 /Mês 
"Avenida Doutor Bernardo Kaplan, 123 - Parque Brasília, Campinas - SP","Apartamento com 2 Quartos para Aluguel, 73",  73,  2,  2,  1,['Elevador'],   R$ 2.800 /Mês 
"Alameda dos Cardeais, 57 - Caraguata, Mairiporã - SP","Casa com 5 Quartos à Venda/Aluguel 570",  570,  5,  6,  6,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Academia', 'Aceita animais', '...']",   R$ 15.000 /Mês 
"Rua Giovanni Battista Pirelli - Vila Homero Thon, Santo André - SP","Sala/Conjunto    para Aluguel, 33",  33,,  1,  1,['Elevador'],   R$ 1.290 /Mês 
"Rua Hugo Zen, 78 - Colônia Rio Grande, São José dos Pinhais - PR","Apartamento com 2 Quartos para Aluguel, 53",  53,  2,  1,  1,,   R$ 1.200 /Mês 
"Rua Giacinto Tognato, 374 - Baeta Neves, São Bernardo do Campo - SP","Casa com 2 Quartos para Aluguel, 80",  80,  2,  2,  1,,   R$ 1.800 /Mês 
"Avenida Jorge Zarur, 11 - Vila Ema, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  2,,   R$ 3.300 /Mês 
"Rua João Teixeira da Silva, 415 - Vila Invernada, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 76",  76,  3,  2,  2,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Playground', '...']",   R$ 2.800 /Mês 
"Rua Olívia Menelau, 207 - Imbiribeira, Recife - PE","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  3,  1,,   R$ 2.000 /Mês 
"Rua Lima e Silva, 233 - Ipiranga, São Paulo - SP","Casa com 2 Quartos para Venda/Aluguel 100",  100,  2,  2,  --,,   R$ 3.000 /Mês 
